UNIQUE_KEY,CASE_NUMBER,DATE,BLOCK,IUCR,PRIMARY_TYPE,DESCRIPTION,LOCATION_DESCRIPTION,ARREST,DOMESTIC,BEAT,DISTRICT,FBI_CODE,X_COORDINATE,Y_COORDINATE,YEAR,UPDATED_ON,LATITUDE,LONGITUDE,LOCATION,CURRENT_TIMESTAMP,CRIME_TYPE
11705366,JC284819,2019-05-22 20:30:00+00:00,001XX N DEARBORN ST,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,STREET,False,False,111,1,02,1175916.0,1901339.0,2019,2019-06-30 15:41:21+00:00,41.884640562,-87.629465296,"(41.884640562, -87.629465296)",2024-10-24 15:55:20+00:00,
5540810,HN350150,2007-05-18 13:00:00+00:00,006XX W WASHINGTON BLVD,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),False,False,111,1,03,1172041.0,1900771.0,2007,2018-02-10 15:50:01+00:00,41.883168267,-87.643711477,"(41.883168267, -87.643711477)",2024-10-24 15:55:20+00:00,
11734271,JC320402,2019-06-24 19:18:00+00:00,001XX N WABASH AVE,031A,ROBBERY,ARMED: HANDGUN,RESTAURANT,True,False,111,1,03,1176788.0,1901453.0,2019,2019-07-05 15:40:09+00:00,41.884933714,-87.626259777,"(41.884933714, -87.626259777)",2024-10-24 15:55:20+00:00,
11273359,JB208118,2018-04-02 04:49:00+00:00,002XX N DEARBORN ST,031A,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,False,False,111,1,03,1175901.0,1901839.0,2018,2018-05-04 15:51:04+00:00,41.886012928,-87.629505318,"(41.886012928, -87.629505318)",2024-10-24 15:55:20+00:00,
4493672,HL795241,2005-12-17 17:15:00+00:00,005XX W JACKSON BLVD,031A,ROBBERY,ARMED: HANDGUN,STREET,False,False,111,1,03,1173084.0,1898910.0,2005,2018-02-28 15:56:25+00:00,41.878038501,-87.639936767,"(41.878038501, -87.639936767)",2024-10-24 15:55:20+00:00,
13574535,JH400869,2024-08-24 22:15:00+00:00,001XX N WABASH AVE,031A,ROBBERY,ARMED - HANDGUN,SIDEWALK,False,False,111,1,03,1176790.0,1901377.0,2024,2024-09-01 15:41:32+00:00,41.88472512,-87.626254732,"(41.88472512, -87.626254732)",2024-10-24 15:55:20+00:00,
3626551,HK716813,2004-10-28 22:37:50+00:00,002XX S RIVERSIDE PLZ,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,True,False,111,1,03,1173472.0,1899214.0,2004,2018-02-10 15:50:01+00:00,41.878864086,-87.638503099,"(41.878864086, -87.638503099)",2024-10-24 15:55:20+00:00,
9066618,HW210562,2013-03-28 22:00:00+00:00,001XX N WABASH AVE,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,111,1,03,1176795.0,1901177.0,2013,2018-02-10 15:50:01+00:00,41.884176196,-87.626242423,"(41.884176196, -87.626242423)",2024-10-24 15:55:20+00:00,
11141653,JA501473,2017-11-06 16:59:00+00:00,002XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,111,1,03,1176327.0,1901797.0,2017,2018-02-10 15:50:01+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)",2024-10-24 15:55:20+00:00,
4302009,HL609720,2005-09-10 12:00:00+00:00,002XX S CLINTON ST,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,111,1,03,1172763.0,1899306.0,2005,2018-02-28 15:56:25+00:00,41.879132261,-87.641103666,"(41.879132261, -87.641103666)",2024-10-24 15:55:20+00:00,
8643543,HV318671,2012-06-04 18:26:00+00:00,0000X E RANDOLPH ST,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,111,1,03,1176974.0,1901296.0,2012,2016-02-04 06:33:39+00:00,41.88449869,-87.625581518,"(41.88449869, -87.625581518)",2024-10-24 15:55:20+00:00,
6032038,HP133205,2008-01-19 21:40:00+00:00,005XX W VAN BUREN ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA TRAIN,False,False,111,1,03,1172678.0,1898436.0,2008,2018-02-28 15:56:25+00:00,41.876746804,-87.64144152,"(41.876746804, -87.64144152)",2024-10-24 15:55:20+00:00,
13029695,JG208628,2023-04-02 16:40:00+00:00,001XX N WABASH AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,SMALL RETAIL STORE,False,False,111,1,03,1176799.0,1900994.0,2023,2023-08-19 15:40:26+00:00,41.883673944,-87.626233272,"(41.883673944, -87.626233272)",2024-10-24 15:55:20+00:00,
11329705,JB283101,2018-05-29 02:30:00+00:00,001XX N STATE ST,0320,ROBBERY,STRONGARM - NO WEAPON,CTA PLATFORM,False,False,111,1,03,1176345.0,1901114.0,2018,2018-06-05 15:53:03+00:00,41.884013483,-87.627896757,"(41.884013483, -87.627896757)",2024-10-24 15:55:20+00:00,
8954750,HW103714,2013-01-03 20:15:00+00:00,001XX N MICHIGAN AVE,0320,ROBBERY,STRONGARM - NO WEAPON,STREET,False,False,111,1,03,1177276.0,1901405.0,2013,2018-02-10 15:50:01+00:00,41.884790951,-87.624469241,"(41.884790951, -87.624469241)",2024-10-24 15:55:20+00:00,
10650670,HZ400625,2016-08-20 20:50:00+00:00,0000X E WACKER DR,0320,ROBBERY,STRONGARM - NO WEAPON,SIDEWALK,False,False,111,1,03,1177032.0,1902678.0,2016,2018-02-10 15:50:01+00:00,41.888289658,-87.625326666,"(41.888289658, -87.625326666)",2024-10-24 15:55:20+00:00,
13141030,JG340094,2023-07-13 22:00:00+00:00,002XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,CTA PLATFORM,False,False,111,1,03,1176327.0,1901797.0,2023,2023-08-19 15:40:26+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)",2024-10-24 15:55:20+00:00,
12086453,JD274039,2020-06-23 19:57:00+00:00,001XX N MICHIGAN AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,BANK,True,False,111,1,03,1177270.0,1901551.0,2020,2020-10-07 15:40:21+00:00,41.885191719,-87.624486846,"(41.885191719, -87.624486846)",2024-10-24 15:55:20+00:00,
9575348,HX225855,2014-04-16 14:33:00+00:00,0000X W WASHINGTON ST,0330,ROBBERY,AGGRAVATED,CTA PLATFORM,False,False,111,1,03,1175800.0,1900817.0,2014,2018-02-10 15:50:01+00:00,41.883210775,-87.629906972,"(41.883210775, -87.629906972)",2024-10-24 15:55:20+00:00,
1336561,G900516,2001-01-17 03:00:00+00:00,002XX S CANAL ST,0330,ROBBERY,AGGRAVATED,SIDEWALK,False,False,111,1,03,1173137.0,1899241.0,2001,2015-08-17 15:03:40+00:00,41.878945611,-87.639732344,"(41.878945611, -87.639732344)",2024-10-24 15:55:20+00:00,
8630469,HV303736,2012-05-25 22:57:00+00:00,003XX N MICHIGAN AVE,033A,ROBBERY,ATTEMPT: ARMED-HANDGUN,RESTAURANT,True,False,111,1,03,1177246.0,1902333.0,2012,2016-02-04 06:33:39+00:00,41.887338112,-87.624551258,"(41.887338112, -87.624551258)",2024-10-24 15:55:20+00:00,
12717587,JF238122,2022-05-11 12:08:00+00:00,001XX N STATE ST,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,SMALL RETAIL STORE,False,False,111,1,03,1176338.0,1901346.0,2022,2023-01-03 15:40:27+00:00,41.884650262,-87.627915459,"(41.884650262, -87.627915459)",2024-10-24 15:55:20+00:00,
10817159,JA117362,2017-01-15 20:30:00+00:00,002XX N WABASH AVE,0340,ROBBERY,ATTEMPT: STRONGARM-NO WEAPON,CTA TRAIN,False,False,111,1,03,1176777.0,1901797.0,2017,2018-02-10 15:50:01+00:00,41.885877917,-87.626289762,"(41.885877917, -87.626289762)",2024-10-24 15:55:20+00:00,
12281426,JE126762,2021-01-29 15:51:00+00:00,002XX N STATE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,False,False,111,1,04B,1176310.0,1902226.0,2021,2021-02-05 15:40:20+00:00,41.887065662,-87.627991716,"(41.887065662, -87.627991716)",2024-10-24 15:55:20+00:00,
13271286,JG496605,2023-11-08 14:00:00+00:00,0000X E LAKE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,False,False,111,1,04B,1176905.0,1901744.0,2023,2023-11-16 15:40:49+00:00,41.885729587,-87.625821329,"(41.885729587, -87.625821329)",2024-10-24 15:55:20+00:00,
12509236,JE406253,2021-10-07 01:00:00+00:00,0000X E LAKE ST,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,STREET,False,False,111,1,04B,1176905.0,1901744.0,2021,2021-10-14 15:42:11+00:00,41.885729587,-87.625821329,"(41.885729587, -87.625821329)",2024-10-24 15:55:20+00:00,
13531921,JH349967,2024-07-16 23:10:00+00:00,0000X E WACKER DR,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,SIDEWALK,False,False,111,1,04B,1176988.0,1902631.0,2024,2024-07-24 15:41:37+00:00,41.888161684,-87.625489672,"(41.888161684, -87.625489672)",2024-10-24 15:55:20+00:00,
8847704,HV520785,2012-10-16 12:45:00+00:00,0000X E LAKE ST,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,"SCHOOL, PUBLIC, BUILDING",False,False,111,1,04B,1176585.0,1901750.0,2012,2018-02-10 15:50:01+00:00,41.885753285,-87.626996239,"(41.885753285, -87.626996239)",2024-10-24 15:55:20+00:00,
8293748,HT527811,2011-10-03 21:20:00+00:00,001XX N CANAL ST,0440,BATTERY,AGG: HANDS/FIST/FEET NO/MINOR INJURY,SIDEWALK,False,False,111,1,08B,1173103.0,1901129.0,2011,2018-02-10 15:50:01+00:00,41.884127157,-87.639801163,"(41.884127157, -87.639801163)",2024-10-24 15:55:20+00:00,
4044362,HL393290,2005-06-01 22:00:00+00:00,003XX W WACKER DR,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,08B,1174120.0,1901942.0,2005,2018-02-28 15:56:25+00:00,41.886335464,-87.636042402,"(41.886335464, -87.636042402)",2024-10-24 15:55:20+00:00,
4553086,HM142055,2006-01-23 16:00:00+00:00,006XX W WASHINGTON BLVD,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,08B,1171802.0,1900767.0,2006,2018-02-28 15:56:25+00:00,41.883162558,-87.644589209,"(41.883162558, -87.644589209)",2024-10-24 15:55:20+00:00,
9022647,HW170207,2013-02-25 18:08:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,False,False,111,1,08B,1176336.0,1901435.0,2013,2018-02-10 15:50:01+00:00,41.884894528,-87.627920116,"(41.884894528, -87.627920116)",2024-10-24 15:55:20+00:00,
9055596,HW200292,2013-03-20 17:50:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,CONVENIENCE STORE,True,False,111,1,08B,1176338.0,1901346.0,2013,2018-02-10 15:50:01+00:00,41.884650262,-87.627915459,"(41.884650262, -87.627915459)",2024-10-24 15:55:20+00:00,
9196535,HW341850,2013-06-30 10:45:00+00:00,003XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,False,False,111,1,08B,1177246.0,1902350.0,2013,2018-02-10 15:50:01+00:00,41.887384761,-87.624550742,"(41.887384761, -87.624550742)",2024-10-24 15:55:20+00:00,
5691977,HN501234,2007-07-31 20:51:18+00:00,006XX W LAKE ST,0460,BATTERY,SIMPLE,RESIDENCE,False,False,111,1,08B,1171728.0,1901690.0,2007,2018-02-28 15:56:25+00:00,41.88569696,-87.644833747,"(41.88569696, -87.644833747)",2024-10-24 15:55:20+00:00,
10918202,JA226630,2017-04-16 02:00:00+00:00,0000X W RANDOLPH ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,08B,1176102.0,1901284.0,2017,2018-02-10 15:50:01+00:00,41.884485451,-87.628783943,"(41.884485451, -87.628783943)",2024-10-24 15:55:20+00:00,
9947519,HY136001,2015-02-01 02:45:00+00:00,002XX N STATE ST,0460,BATTERY,SIMPLE,SIDEWALK,True,False,111,1,08B,1176327.0,1901797.0,2015,2018-02-10 15:50:01+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)",2024-10-24 15:55:20+00:00,
9962973,HY152120,2015-02-15 03:01:00+00:00,002XX N STATE ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,True,False,111,1,08B,1176327.0,1901797.0,2015,2018-02-10 15:50:01+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)",2024-10-24 15:55:20+00:00,
12617411,JF143666,2022-02-14 01:40:00+00:00,0000X E WACKER DR,0460,BATTERY,SIMPLE,HOTEL / MOTEL,False,False,111,1,08B,1176971.0,1902537.0,2022,2023-01-03 15:40:27+00:00,41.887904127,-87.625554948,"(41.887904127, -87.625554948)",2024-10-24 15:55:20+00:00,
3207268,HK217466,2004-03-03 11:44:27+00:00,005XX W MONROE ST,0460,BATTERY,SIMPLE,DAY CARE CENTER,False,False,111,1,08B,1172908.0,1899834.0,2004,2018-02-10 15:50:01+00:00,41.880577917,-87.640555606,"(41.880577917, -87.640555606)",2024-10-24 15:55:20+00:00,
13158359,JG362348,2023-07-30 16:20:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,False,False,111,1,08B,1176330.0,1901649.0,2023,2023-10-27 15:40:39+00:00,41.885481891,-87.627935689,"(41.885481891, -87.627935689)",2024-10-24 15:55:20+00:00,
13302327,JG534489,2023-12-07 13:00:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,SIDEWALK,False,False,111,1,08B,1176352.0,1900927.0,2023,2023-12-15 15:47:28+00:00,41.883500187,-87.627876698,"(41.883500187, -87.627876698)",2024-10-24 15:55:20+00:00,
7424212,HS225894,2010-03-25 20:15:00+00:00,005XX W MADISON ST,0460,BATTERY,SIMPLE,OTHER RAILROAD PROP / TRAIN DEPOT,False,False,111,1,08B,1173039.0,1900311.0,2010,2018-02-10 15:50:01+00:00,41.881883933,-87.640060441,"(41.881883933, -87.640060441)",2024-10-24 15:55:20+00:00,
1730473,G535702,2001-09-07 09:00:00+00:00,001XX N JEFFERSON ST,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,111,1,08B,1172270.0,1901003.0,2001,2015-08-17 15:03:40+00:00,41.883799838,-87.642863729,"(41.883799838, -87.642863729)",2024-10-24 15:55:20+00:00,
8466138,HV142708,2012-02-02 10:40:00+00:00,005XX W VAN BUREN ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,08B,1173159.0,1898448.0,2012,2018-02-10 15:50:01+00:00,41.876769079,-87.639675097,"(41.876769079, -87.639675097)",2024-10-24 15:55:20+00:00,
8555286,HV230608,2012-04-06 12:10:00+00:00,0000X W RANDOLPH ST,0460,BATTERY,SIMPLE,RESTAURANT,True,False,111,1,08B,1176046.0,1901283.0,2012,2016-02-04 06:33:39+00:00,41.884483968,-87.628989611,"(41.884483968, -87.628989611)",2024-10-24 15:55:20+00:00,
6135603,HP227623,2008-03-15 22:40:00+00:00,005XX W MADISON ST,0460,BATTERY,SIMPLE,RESIDENCE PORCH/HALLWAY,True,False,111,1,08B,1172573.0,1900294.0,2008,2018-02-28 15:56:25+00:00,41.881847601,-87.641772074,"(41.881847601, -87.641772074)",2024-10-24 15:55:20+00:00,
3229264,HK247461,2004-03-12 20:30:00+00:00,006XX W MADISON ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,111,1,08B,1172231.0,1900286.0,2004,2018-02-10 15:50:01+00:00,41.881833204,-87.643028117,"(41.881833204, -87.643028117)",2024-10-24 15:55:20+00:00,
10160332,HY349421,2015-07-21 08:25:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,OTHER,False,False,111,1,08B,1176352.0,1900918.0,2015,2018-02-10 15:50:01+00:00,41.883475491,-87.627876969,"(41.883475491, -87.627876969)",2024-10-24 15:55:20+00:00,
11175624,JA546344,2017-12-12 12:30:00+00:00,0000X E LAKE ST,0460,BATTERY,SIMPLE,COLLEGE/UNIVERSITY GROUNDS,False,False,111,1,08B,1176585.0,1901750.0,2017,2018-02-10 15:50:01+00:00,41.885753285,-87.626996239,"(41.885753285, -87.626996239)",2024-10-24 15:55:20+00:00,
11222448,JB140395,2018-02-03 21:25:00+00:00,0000X W WACKER DR,0460,BATTERY,SIMPLE,HOTEL/MOTEL,True,False,111,1,08B,1176210.0,1902134.0,2018,2018-05-04 15:51:04+00:00,41.886815464,-87.628361716,"(41.886815464, -87.628361716)",2024-10-24 15:55:20+00:00,
11980268,JD150524,2020-02-13 14:00:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,DEPARTMENT STORE,False,False,111,1,08B,1176352.0,1900927.0,2020,2020-02-20 15:42:07+00:00,41.883500187,-87.627876698,"(41.883500187, -87.627876698)",2024-10-24 15:55:20+00:00,
13424801,JH219723,2024-04-10 12:15:00+00:00,0000X W LAKE ST,0460,BATTERY,SIMPLE,COLLEGE / UNIVERSITY - GROUNDS,True,False,111,1,08B,1176066.0,1901744.0,2024,2024-04-18 15:40:59+00:00,41.885748527,-87.628902273,"(41.885748527, -87.628902273)",2024-10-24 15:55:20+00:00,
13511482,JH325647,2024-06-28 23:33:00+00:00,0000X E WACKER DR,0460,BATTERY,SIMPLE,HOTEL / MOTEL,True,False,111,1,08B,1177009.0,1902589.0,2024,2024-07-06 15:41:05+00:00,41.888045958,-87.625413826,"(41.888045958, -87.625413826)",2024-10-24 15:55:20+00:00,
8672055,HV346996,2012-06-22 05:15:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,CTA TRAIN,False,False,111,1,08B,1176330.0,1901657.0,2012,2016-02-04 06:33:39+00:00,41.885503844,-87.627935448,"(41.885503844, -87.627935448)",2024-10-24 15:55:20+00:00,
4980127,HM592156,2006-09-09 23:00:00+00:00,006XX W WASHINGTON BLVD,0460,BATTERY,SIMPLE,STREET,True,False,111,1,08B,1172217.0,1900773.0,2006,2018-02-28 15:56:25+00:00,41.883169873,-87.643065141,"(41.883169873, -87.643065141)",2024-10-24 15:55:20+00:00,
11214374,JB128973,2018-01-25 11:00:00+00:00,002XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,RESTAURANT,False,False,111,1,08B,1177258.0,1901852.0,2018,2018-05-04 15:51:04+00:00,41.886017951,-87.624521781,"(41.886017951, -87.624521781)",2024-10-24 15:55:20+00:00,
11125633,JA477986,2017-10-19 21:40:00+00:00,001XX N DEARBORN ST,0460,BATTERY,SIMPLE,MOVIE HOUSE/THEATER,False,False,111,1,08B,1175910.0,1901569.0,2017,2018-02-10 15:50:01+00:00,41.88527183,-87.629480401,"(41.88527183, -87.629480401)",2024-10-24 15:55:20+00:00,
12147398,JD345650,2020-08-26 09:33:00+00:00,0000X E WACKER DR,0460,BATTERY,SIMPLE,CONVENIENCE STORE,False,False,111,1,08B,1176621.0,1902155.0,2020,2020-09-02 15:41:56+00:00,41.886863814,-87.626851797,"(41.886863814, -87.626851797)",2024-10-24 15:55:20+00:00,
2106668,HH339771,2002-04-29 23:05:50+00:00,005XX W MADISON ST,0460,BATTERY,SIMPLE,OTHER,False,False,111,1,08B,1173039.0,1900311.0,2002,2018-02-10 15:50:01+00:00,41.881883933,-87.640060441,"(41.881883933, -87.640060441)",2024-10-24 15:55:20+00:00,
1480682,G215952,2001-04-16 09:53:31+00:00,001XX S WACKER DR,0460,BATTERY,SIMPLE,BANK,True,False,111,1,08B,1173851.0,1899416.0,2001,2015-08-17 15:03:40+00:00,41.879409958,-87.63710548,"(41.879409958, -87.63710548)",2024-10-24 15:55:20+00:00,
5279201,HN145020,2007-01-26 18:08:36+00:00,006XX W JACKSON BLVD,0460,BATTERY,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),False,False,111,1,08B,1172276.0,1898889.0,2007,2018-02-28 15:56:25+00:00,41.87799875,-87.642904147,"(41.87799875, -87.642904147)",2024-10-24 15:55:20+00:00,
9881763,HX532823,2014-12-06 19:29:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,RESTAURANT,True,False,111,1,08B,1176332.0,1901600.0,2014,2016-02-04 06:33:39+00:00,41.885347387,-87.627929824,"(41.885347387, -87.627929824)",2024-10-24 15:55:20+00:00,
9890214,HX540268,2014-12-13 01:06:00+00:00,002XX N STATE ST,0460,BATTERY,SIMPLE,HOTEL/MOTEL,True,False,111,1,08B,1176327.0,1901797.0,2014,2018-02-10 15:50:01+00:00,41.885888079,-87.627942238,"(41.885888079, -87.627942238)",2024-10-24 15:55:20+00:00,
3733178,HL100521,2005-01-01 04:25:00+00:00,001XX N CANAL ST,0460,BATTERY,SIMPLE,OTHER,True,False,111,1,08B,1173097.0,1901452.0,2005,2018-02-28 15:56:25+00:00,41.885013623,-87.63981361,"(41.885013623, -87.63981361)",2024-10-24 15:55:20+00:00,
3632437,HK725034,2004-11-01 12:55:00+00:00,001XX N WACKER DR,0460,BATTERY,SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,False,111,1,08B,1173921.0,1900913.0,2004,2018-02-28 15:56:25+00:00,41.883516261,-87.636803841,"(41.883516261, -87.636803841)",2024-10-24 15:55:20+00:00,
3790596,HL156253,2005-02-01 13:20:00+00:00,003XX S LOWER WACKER DR,0460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",True,False,111,1,08B,1173921.0,1898783.0,2005,2018-02-28 15:56:25+00:00,41.877671408,-87.636867314,"(41.877671408, -87.636867314)",2024-10-24 15:55:20+00:00,
10736059,HZ495963,2016-10-30 22:53:00+00:00,0000X E WACKER DR,0460,BATTERY,SIMPLE,RESTAURANT,False,False,111,1,08B,1176971.0,1902537.0,2016,2018-02-10 15:50:01+00:00,41.887904127,-87.625554948,"(41.887904127, -87.625554948)",2024-10-24 15:55:20+00:00,
2871756,HJ532279,2003-07-31 22:22:19+00:00,004XX W JACKSON BLVD,0460,BATTERY,SIMPLE,ATHLETIC CLUB,False,False,111,1,08B,1173380.0,1898918.0,2003,2018-02-10 15:50:01+00:00,41.878053886,-87.638849697,"(41.878053886, -87.638849697)",2024-10-24 15:55:20+00:00,
12053571,JD235774,2020-05-18 14:05:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,STREET,False,False,111,1,08B,1176332.0,1901600.0,2020,2020-05-25 15:41:29+00:00,41.885347387,-87.627929824,"(41.885347387, -87.627929824)",2024-10-24 15:55:20+00:00,
11572092,JC123145,2019-01-20 01:30:00+00:00,002XX N MICHIGAN AVE,0460,BATTERY,SIMPLE,STREET,False,False,111,1,08B,1177257.0,1901899.0,2019,2019-01-27 16:09:33+00:00,41.886146944,-87.624524028,"(41.886146944, -87.624524028)",2024-10-24 15:55:20+00:00,
11461381,JB455311,2018-09-29 02:45:00+00:00,001XX N STATE ST,0460,BATTERY,SIMPLE,CTA PLATFORM,False,False,111,1,08B,1176349.0,1900998.0,2018,2018-10-06 15:59:57+00:00,41.883695083,-87.62788557,"(41.883695083, -87.62788557)",2024-10-24 15:55:20+00:00,
1349952,G051717,2001-01-24 17:15:00+00:00,005XX W MADISON ST,0460,BATTERY,SIMPLE,OTHER,False,False,111,1,08B,1173120.0,1900351.0,2001,2015-08-17 15:03:40+00:00,41.881991899,-87.639761826,"(41.881991899, -87.639761826)",2024-10-24 15:55:20+00:00,
11044867,JA380048,2017-08-06 17:15:00+00:00,0000X W RANDOLPH ST,0462,BATTERY,AGG PRO EMP HANDS SERIOUS INJ,SIDEWALK,False,False,111,1,04B,1176024.0,1901283.0,2017,2018-02-10 15:50:01+00:00,41.884484464,-87.629070397,"(41.884484464, -87.629070397)",2024-10-24 15:55:20+00:00,
11965807,JD132892,2020-01-29 14:47:00+00:00,001XX N STATE ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CTA PLATFORM,True,False,111,1,24,1176345.0,1901114.0,2020,2020-02-05 15:41:45+00:00,41.884013483,-87.627896757,"(41.884013483, -87.627896757)",2024-10-24 15:55:20+00:00,
6076500,HP176011,2008-02-14 18:58:08+00:00,004XX W ADAMS ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,False,False,111,1,24,1173542.0,1899385.0,2008,2018-02-10 15:50:01+00:00,41.879331765,-87.63824099,"(41.879331765, -87.63824099)",2024-10-24 15:55:20+00:00,
6274938,HP361780,2008-05-28 18:44:01+00:00,001XX S WACKER DR,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,True,False,111,1,24,1173883.0,1899742.0,2008,2018-02-28 15:56:25+00:00,41.88030381,-87.636978269,"(41.88030381, -87.636978269)",2024-10-24 15:55:20+00:00,
8130658,HT363485,2011-06-24 09:00:00+00:00,001XX N JEFFERSON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,111,1,08B,1172295.0,1901507.0,2011,2018-02-10 15:50:01+00:00,41.885182294,-87.642757034,"(41.885182294, -87.642757034)",2024-10-24 15:55:20+00:00,
5499243,HN310579,2007-04-28 15:00:00+00:00,001XX S CANAL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,111,1,08B,1173162.0,1899653.0,2007,2018-02-28 15:56:25+00:00,41.880075611,-87.639628321,"(41.880075611, -87.639628321)",2024-10-24 15:55:20+00:00,
10111057,HY299768,2015-06-13 17:40:00+00:00,0000X E RANDOLPH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,False,True,111,1,08B,1176528.0,1901290.0,2015,2018-02-10 15:50:01+00:00,41.884492307,-87.627219452,"(41.884492307, -87.627219452)",2024-10-24 15:55:20+00:00,
12398709,JE271183,2021-06-18 21:40:00+00:00,0000X E RANDOLPH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,111,1,08B,1176930.0,1901295.0,2021,2021-06-25 15:40:42+00:00,41.884496941,-87.625743121,"(41.884496941, -87.625743121)",2024-10-24 15:55:20+00:00,
3232030,HK250785,2004-03-20 01:30:00+00:00,006XX W WASHINGTON BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,BAR OR TAVERN,True,True,111,1,08B,1171763.0,1900767.0,2004,2018-02-28 15:56:25+00:00,41.883163417,-87.644732419,"(41.883163417, -87.644732419)",2024-10-24 15:55:20+00:00,
13622305,JH457258,2024-10-05 22:30:00+00:00,0000X E LAKE ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,111,1,08B,1176931.0,1901744.0,2024,2024-10-13 15:42:45+00:00,41.885728999,-87.625725853,"(41.885728999, -87.625725853)",2024-10-24 15:55:20+00:00,
8502821,HV179322,2012-03-01 16:30:00+00:00,001XX S CANAL ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,111,1,08B,1173162.0,1899653.0,2012,2021-09-07 15:41:02+00:00,41.880075611,-87.639628321,"(41.880075611, -87.639628321)",2024-10-24 15:55:20+00:00,
10278577,HY466982,2015-10-18 15:40:00+00:00,0000X E RANDOLPH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,True,True,111,1,08B,1177059.0,1901297.0,2015,2018-02-10 15:50:01+00:00,41.88449951,-87.625269361,"(41.88449951, -87.625269361)",2024-10-24 15:55:20+00:00,
12844154,JF416257,2022-09-30 08:46:00+00:00,002XX N WABASH AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,COMMERCIAL / BUSINESS OFFICE,False,True,111,1,08B,1176777.0,1901808.0,2022,2023-01-03 15:40:27+00:00,41.885908101,-87.626289429,"(41.885908101, -87.626289429)",2024-10-24 15:55:20+00:00,
